"RecNo","leave_ind","fictive-oved","Expected_by_Formulas","Sign_Level","Concl_Prob","Prediction"
390,0.000000,3385.000000,"",0.000,0.153,No  more than 0.28
391,0.000000,5302.000000,"",0.408,0.294, more than 0.28
392,0.000000,5376.000000,"",0.272,0.346, more than 0.28
393,1.000000,1429.000000,"",0.000,0.137,No  more than 0.28
394,0.000000,6392.000000,"",0.000,0.142,No  more than 0.28
395,1.000000,4590.000000,-1.0,0.0, No Prediction
396,1.000000,5059.000000,"",0.183,0.386, more than 0.28
397,1.000000,6462.000000,"",0.047,0.185,No  more than 0.28
398,1.000000,2687.000000,"",0.077,0.474, more than 0.28
399,0.000000,1078.000000,"",0.000,0.129,No  more than 0.28
400,0.000000,7439.000000,"",0.000,0.134,No  more than 0.28
401,1.000000,2899.000000,"",0.000,0.147,No  more than 0.28
402,0.000000,6053.000000,"",0.000,0.145,No  more than 0.28
403,0.000000,3079.000000,"",0.000,0.141,No  more than 0.28
404,1.000000,8040.000000,"",0.071,0.447, more than 0.28
405,0.000000,1058.000000,"",0.000,0.599, more than 0.28
406,0.000000,7789.000000,"",0.000,0.102,No  more than 0.28
407,0.000000,1600.000000,"",0.000,0.163,No  more than 0.28
408,0.000000,219.000000,"",0.000,0.157,No  more than 0.28
409,0.000000,5400.000000,"",0.893,0.283, more than 0.28
410,1.000000,7751.000000,"",0.674,0.295, more than 0.28
411,0.000000,3595.000000,"",0.000,0.119,No  more than 0.28
412,1.000000,6643.000000,"",0.130,0.252,No  more than 0.28
413,0.000000,5913.000000,"",0.000,0.162,No  more than 0.28
414,1.000000,2185.000000,"",0.000,0.152,No  more than 0.28
415,0.000000,3544.000000,"",0.091,0.223,No  more than 0.28
416,0.000000,4952.000000,"",0.118,0.171,No  more than 0.28
417,0.000000,8465.000000,"",0.122,0.182,No  more than 0.28
418,0.000000,6039.000000,"",0.000,0.155,No  more than 0.28
419,0.000000,1235.000000,"",0.000,0.154,No  more than 0.28
420,1.000000,6068.000000,"",0.125,0.483, more than 0.28
421,1.000000,7774.000000,"",0.000,0.149,No  more than 0.28
422,1.000000,6698.000000,"",0.054,0.268,No  more than 0.28
423,0.000000,625.000000,"",0.000,0.158,No  more than 0.28
424,0.000000,2780.000000,"",0.000,0.147,No  more than 0.28
425,0.000000,732.000000,"",0.777,0.308, more than 0.28
426,0.000000,5407.000000,"",0.000,0.139,No  more than 0.28
427,0.000000,2227.000000,"",0.000,0.146,No  more than 0.28
428,1.000000,6294.000000,"",0.000,0.149,No  more than 0.28
429,1.000000,4203.000000,"",0.804,0.301, more than 0.28
430,0.000000,923.000000,"",0.164,0.238,No  more than 0.28
431,0.000000,8351.000000,"",0.000,0.101,No  more than 0.28
432,0.000000,1819.000000,"",0.541,0.270,No  more than 0.28
433,0.000000,6919.000000,"",0.000,0.663, more than 0.28
434,1.000000,5922.000000,-1.0,0.0, No Prediction
435,1.000000,7765.000000,"",0.851,0.282, more than 0.28
436,0.000000,2518.000000,"",0.000,0.099,No  more than 0.28
437,0.000000,7793.000000,"",0.073,0.154,No  more than 0.28
438,0.000000,3914.000000,"",0.000,0.080,No  more than 0.28
439,0.000000,1924.000000,"",0.000,0.122,No  more than 0.28
440,0.000000,5380.000000,"",0.000,0.140,No  more than 0.28
441,1.000000,2753.000000,"",0.341,0.314, more than 0.28
442,1.000000,7125.000000,"",0.599,0.269,No  more than 0.28
